en,ja
"Please, this flattery is futile.",よして お世辞にはうんざりしてるの
"- Yeah, I know. - I mean, no offense.",「そうだな」 「悪気はねぇんだ」
"When we get inside, don't get trigger happy. We gotta find out what these guys know.",中に入ったら 静かに待て
So use her to your advantage.,利用価値はあるぞ
Is she resisting?,- それで？
He's still sponging off his father.,彼はいまでも父親のすねかじりです。
If I knew she was unstable I'd have pulled her out.,不審な所があれば 止めさせたんだが...
A special tax is imposed on very high incomes.,実に高額の所得には特別税が課せられている。
- Hey.,- ハイ
But you'll always be her baby boy.,でもあなたはずっと 彼女にとっては赤ん坊よ
"Dickey, I knew you had a mean streak, okay.",あんたやな奴ってのは知ってたけど
Let's do this.,行きましょう。
He defies the present government which is no less oppressive than its predecessor.,彼は、前の政府に劣らず圧制的な現政府に公然と反抗している。
"No, I don't.",いいわよ
"Ronnie got dizzy when the soldiers grabbed Stein, and Stein developed Ronnie's obsession with pizza.",スタインが捕まった時 ロニーはフラフラしてた 逆にスタインがピザ好きに
"If you're going to shoot, shoot.",撃つなら撃て
We're gonna be on two-hour comms windows.,通信の途絶を 2時間と見積もり
And the truth that as we go deeper into Fischer we're also going deeper into you.,それにロバートだけじゃなく あなたの潜在意識にも潜っているって事
That's good advice.,そうだな、ありがと
These constitutional rights.,これらの憲法上の権利
- You in the corner.,- 端によれ
That's the third time.,３回目ね
I know you can hear me!,聞こえてるんでしょ!
I think that it's good and bad that throughout my life I will not be able to forget that event.,良くも悪くも、あれは一生忘れられない出来事だと思う。
Sure he did.,それは分かる
"How will we survive?""","一体どうやって生き残れば！"""
was only out on parole three months.,仮釈放中だった
"Translation...""Believe me, I've tried everything.""","訳すと・・ ""嘘じゃない 私は全てを試しました」"
We need to find her. Now.,今すぐ見つけないと
"I'm wondering whose they want more, lieutenant Tanner's or mine.",彼らが欲しいのは私の血か それともターナー中尉のか...
My whole last series was on Jack the Ripper.,新刊は切り裂きジャックだった
"It will turn around, you know.",好転するさ
"Stress, loneliness...",不安や孤独など...
Just as I thought. The ignition lead has been cut.,やっぱりだ 点火装置が切れた
♪ and you fly ♪,♪ and you fly ♪
Identify yourselves and state your business,名乗ってくれ
- Bye. Bye.,- バイバイ
"I missed the last bus, and was obliged to walk home in the rain.",私は終バスに乗り遅れて、うちまで雨の中を歩かなければならなかった。
I think we're gonna be able to find them.,奴らを見つけられます
"Kevan, Jon...",ケヴァン　ジョン
Pretty hard.,かなり堪えたようだ
I've been through therapy myself. The department provided it for me.,私も病気だったんだ 入院したこともある
- To find Arya.,アーリアを探す
"Thank you so much, Carol, but we found a couple of chowders that are only two years out of date, so I think we're gonna take our chances with that.",ありがとう、キャロル でも、チャウダーを見つけたの 期限が2年しか経ってない
"Hold on, Morpheus.",がんばれ モーフィアス
I'm not asking you to forget.,忘れろとは言わない
"There you go, mate.",さあ　どうぞ　友よ
"Of course, I'm right.",そうだ
I was really surprised when I did it in a crowded place!,（静流の声） この間 人混みで それやって びっくりしたんだから
It's always the same.,いつも同じ
- Really?,- 本当？
Fourteen years ago a Death Eater named Bellatrix Lestrange used a Cruciatus Curse on my parents.,"14年前― デスイーターの一人 ベラトリックス・レストレンジが 僕の両親""磔の呪い""を使い―"
We'll deal with the question of your loyalties later.,あとで、君らの 忠誠心の質問をする。
Where are the babies?,赤ん坊たちは どこだ？
"Well, actually, Mrs. Sutter, this is about you.",いえ実は　サターさん あなたのことなんです
"""Twilight""?",- 黄昏？
"Yeah, well, maybe he's just too old.",歳を取りすぎなのよ
- I can't fucking let you do this. - Get out!,運転させられるかよ！
"All right, Remy. Whatever you think best.",分かったよ
Reed.,- リード
You see?,わかるね？
"Oh, girls! Girls, we have all been invited to a ball at Netherfield!",ビングリーさんの 舞踏会に招待されたわ
"Also, notice the index finger on his right hand.",それと　彼の右手の人差し指を見てくれ
Do not. Sharp movement is not necessary.,"おやめなさい、""激しい挙動""は"
You guys ready?,行こうか？
"Okay, tell me the truth.",どうだったの？
- Shut up. Come on.,-　黙って　来て
The one we're working right now.,今やってるだろ？
I'm done.,ごちそうさま
Moderate exercise is good for you.,日常の運動はあなたのためになる。
Michael?,"""マイケル？"""
That's the truth.,これが事実だ
I give you a Blow Job.,はいよ ブロー・ジョブだ
Tyreese.,タイリース
All citizens are required to show proper identification.,すべての国民は 適切な身分証を提示せよ
Ha! My guess is we'd have blown up the world by that time.,その頃には 世界が破滅してるよ
This is the only road back into town.,町への1本道よ。
"Sittin' on porches,drinking coffee out of mugs.",ポーチに腰掛けて コーヒー飲んでる
Where is she?,いま何処に
Flickr Uploader,Flickr アップローダ
"I've done lots of other stuff, though.",でも　他のことも色々訓練したの
The guy who's coming after me... your men won't be able to stop him.,私の後を追う奴... あなたの部下は 彼を止める事はできない
- When?,何時?
"As much as I would have enjoyed eliminating him myself, native-on-native killing cannot stand.",排除する時は 喜んで私が手を下す 勝手な殺し合いは――
Where can I obtain PHP?,1. PHPはどこで手に入れることができますか？
"""Take control of the facts.""",「事実をしっかり把握する。
I honestly don't know what you're talking about.,何の事だか、さっぱり
"Blah, blah, blah,... blah. It's very annoying.",モゴモゴ 本当にうっとおしいのよ
I will not borrow money from those people.,私はあの連中からは金を借りない。
"No. No, no, not like that.",いいえ 違う そういうんじゃない
"When people are in trouble, he comes out of nowhere.",誰かが困ってると 何処からともなくやってくるの
"People who don't sucker punch people when they're scared, okay?",怖いとき、殴らない人達 そうだろ？
No.,いえ違う...
- You bringing that to miles?,- マイルズに持って行くの？
I can ride.,乗れる
Wow.,ワオ。
Excuse me?,何ですって？
This city is my home.,この市は俺の家だ
Sorry?,え？
"Alex Parrish, Grand Central bomber, is trapped within a six-block perimeter as we speak.",その近隣6区内まで 追い詰めました
I don't wanna get up in front of all those people. - Make a fool out of myself.,それに人前に出たら バカをさらすわ
Fuck you!,クソッタレが！
You gonna come back for Hertz's party?,パーティーには戻るかい？
Okay. I'm in.,時間よ
I admire your pluck.,君の勇気は　素晴らしい
"- Fischer's had an extractor teach his subconscious to defend itself, so his subconscious is militarized.",ロバートは潜在意識を守る 訓練を受けている それで、潜在意識が防衛をした
Charlie. Leave it out.,- チャーリー 止めろ
And there's no drag marks. Uh-huh.,それに　引きずった跡も無い この男は・・・
Johnny!,ジョニー!
What?,なんだって？
They are very brave.,彼らは勇敢です
"I'm not following this, Frank.",俺はその話について行けない　フランク
They are dead.,皆が死んだ。
There is a way off the roof?,屋根に出られるか？
"Binkowski, see that Kraut stinger in the cellar on my left? Mind giving him what for?",ビンコウスキー　左側だ　見えるか？
"I know you're looking for an answer, but I'd rather you concentrate on your studies as a med student now.",（惟道）悠里は今 答えを求めてると思うんだけど 悠里は医学生の本分として 今 勉強してほしいって思ってる
Beginning turn for docking.,"""ドッキング回転開始"""
"Forgive my husband, general. And mine, general.",夫を許してください、将軍 私も、将軍
"Hey, your kid's cuttin' a rug.",パートナーが出来たんだな？
I still like the name James.,男の子だったらね
I can't make out what the man is saying.,あの男の言っていることが分からない。
"Thanks, Nicole.",＜どうも。
It's already filled with complaints about you.,もう、あなたへの苦情で 一杯よ
What? You okay there? Huh?,大丈夫か？
"Well, we'll just have to blindfold all our guests.",じゃ　お客様には みんな目隠しね
No one blows my tech to smithereens and gets away with it...,二度と僕の作ったものを 吹き飛ばさないよう...
It's--it's not animal or vegetable.,それは　動物でもないし・・・ 野菜でもない
- Feel better now? - Yeah.,気は晴れたか？
! Bones is gonna go pick up Christine and... Oh!,ボーンズは クリスティンを連れて 新しいバッグがいるな
"Oh, great.",それはよかった
OK. All right.,分かった
- No lemon squash.,レモンスカッシュないですね
There's a whole 'nother unit setting up out back.,裏にも　別の部隊が陣取ってる
You love every bit of it.,"""喜んでやってる"""
You're wasting your time.,時間の無駄だ
The bruising pattern suggests the killer used only one hand.,傷跡の型は殺人者が 片手だけ使った事を示唆してる
"Captain, some of the guys and I are gonna go celebrate.",大尉、他の連中と お祝いに行って参ります.
Training session! The time is running...,練習セッション! 時間を測定しています...
"Oh, my God. I'm sorry, man. I know you guys were close.",気の毒に 彼と親しかったよな？
- He does that when he's upset.,- ずっと無言電話がきてたけど
"Back in the '92 robbery,",92年の強盗事件で
"I'm tied in at my end, I just need an open line.",こっちはＯＫだ あとはラインを開くだけだ
Are you kidding me?,マジで？
The bidet-toilet itself has not spread much outside of Japan.,ウォシュレット自体が日本以外の国ではほとんど普及していません。
"And the right, the America God loves.",-正しいアメリカの 神のもとへ
You didn't receive a communiqué from Starfleet.,艦隊からの命令は受け取っていないでしょ
You're just fine.,あなたは大丈夫よ
- I'm just warming up.,- ウォーミングアップ
I'm sure they're around.,学校のどこにいるかも
"He's just a big ol' breath of fresh air, or... seems like it right now at least, huh?",彼は大きい老人だ 気分転換になった？
Will it be sunny tomorrow?,明日は晴れになるでしょうか。
- What the hell?,どういう... ？
"Oh, God.",神よ
I'm calling my soviet friends.,ソ連の友達に電話した
Just a minute.,待ってくれ
I don't care.,ああ 気にしないよ
Shame.,残念だ
There is none of you but will come to it: a [matter that is a] decided certainty with your Lord.,そしてあなたがたの中一人もそれを通り越せない。これはあなたがたの主が，成し遂げられる御神命である。
He's just gonna keep...,彼は今後も...
Cicero.,キケロ。
Ms. Grant has an emergency at the office.,グラントさんから緊急呼び出しだわ
Because of me?,私のためでも？
"If he's the poisoner, he won't really be mourning, will he?",彼が犯人なら　本当は弔う気持ちなんか ないんじゃないか？
- I do not start.,黙れ、マニー
Just be careful that you use it to send the right message.,権力の行使が正しいメッセージで あるよう注意してください
I'm supposed to take it to him tonight.,今夜だと思う
"Let's get her to give it another shot at chasen, and if she starts in on boarding school, we can revisit then.",チェスターで新生活をしてみて 娘が寄宿学校に行けば戻れるさ
"Calm down, Lupo. Hey, chill man, come on.",- 落ち着けよ　ルポ
"Down, boy!",下がれ　我が子よ
Do you want to go home?,家に帰りたいのか？
"Oh, I see.",なるほど
Toni Willis sent me.,トニー・ウィリスに 言われてきたよ
Cromartie's here.,クロマティが来てる
It still bothers me that he didn't write me a note.,その事でまだ悩んでる 彼は私にメモも残さなかったの
"Great, and then suddenly he's packing up his things and telling me that it's over.",最高だったのに 突然　彼は荷物をまとめて もう終わりだと言った
Take it.,預けるわ
Don't you ever,頼まないのに
"Yeah, the kind that teases him 'cause his mommy misses him.",彼のママの代わりに 私たちが彼を慰めてるのよ
"If you declare your functions manually and the PHP developers decide that a change in the argument list is necessary, you 'll have to change your module sources to remain compatible.","For reference purposes, you can find a list of the macros involved in declared startup and shutdown functions in 表31-3. These are not used in our basic example yet, but will be demonstrated later on. You should make use of these macros to declare your startup and shutdown functions, as these require special arguments to be passed (INIT_FUNC_ARGS and SHUTDOWN_FUNC_ARGS), which are automatically included into the function declaration when using the predefined macros. If you declare your functions manually and the PHP developers decide that a change in the argument list is necessary, you'll have to change your module sources to remain compatible."
We gotta help Nick.,ニックを助けに行こう
Yeah but it's really cool.,カッコイイな
"Cisco had the samples analyzed and the proteins In the blood were that of an adult, not a child.",検出されたタンパク質は 子供ではなく大人のものだった
- More or less.,多かれ少なかれ
That asshole! He stole that from me.,彼奴が俺から盗んだんだ
"Actually, there is a little bit of gravity on the ship... so, so going to the bathroom... in space is a lot like going to the bathroom on Earth.","""実は船内には ちょっと重力があって..."" ""だから 宇宙でお風呂に行くのは..."" ""地球でお風呂に行くのと 同じだよ"""
- Get him!,- 奴の所へ行け
I got my eye on the king.,王しか目にない
Come here.,来いよ
There are more things in heaven and earth than are dreamt of in the... police officers' training manual.,「警察官マニュアル」からは ほど遠いことは確かね
But soon I would come to realize the frightening reality that the invitations brought.,（慎） でも... 僕は近々 思い知ることになる 招待状がもたらす...
"I'm sorry, Mitch.",- 悪いな ミッチ
"But what we must remember, what we must hold in our hearts...",だけど私達が覚えておくべきは 心にいつまでも留めておくべきは...
"You did things to him, didn't you?",息子に何かしたんだろ？
- Pop.,- 父さん
"The press, too.",記者も
"But since Gabor Farkas is the beneficiary, we can't authorize the transfer.",１８２０万Ｆｔ送金しています
Not that it deserves to be saved.,これは君のいわゆる その事故が引き起こすところだった...
I will not defer.,延期はしません
"Hey, Henry! Come. Say hi.",ヘンリー　挨拶してくれ
"Brothers and sisters, let us pray together for our friend Brother Sam.",共に祈りを 捧げましょう 大切な友人 サムのために
"Did that dog just say ""Hi, there""?",いま「こんにちは　みなさん」と言ったか？
"""Nine"", ""mill"", ""for""...","9百万ポンド　""FOR"""
Come on. Let me help.,いいから 診せてくれ
"No, I'm Spartacus.",違うよ 僕がスパルタカスだ
Every single auction coincides with Lukis or Van Coon travelling to China.,2人の中国旅行と オークションの日付が一致してる
"We master our breath, we master our mind.",呼吸を支配し 心を支配する
- Prop trader?,- プロップトレーダー?
But maybe others can convince them.,だが他の者なら彼らを納得させることが 出来るかもしれない
Do they pass or run?,わおー
Explain!,納得のいく説明をし...
Action properties:,アクションのプロパティ:
"Do they not know that Allah knows their hidden thoughts and their secret counsels, and that Allah is the great Knower of the unseen things?",かれらはアッラーが，かれらの隠し（た考え）も秘密の相談も，知っておられることを知らないのか。またアッラーが，見得ないこと凡てを熟知されている（ことを）。
"Harold, I'm disappearing.",ハロルド 消えかけてる
"Well, then, trust me.",じゃあ 僕を信用してくれ
"I may not agree with all of his choices, but I respect him.",あの人に賛同はしないけど でも尊重してるの
It's too late.,あの子の事を教えてやる
- Allison...,- アリソン...
"Come on, you gotta admit, it has a certain charm.",どう？ いい部屋でしょ
I don't want you minding these people out here.,外の人には 気にしないで
- He's out a lot.,- 外出ばかりしてる
How did this happen?,何故こんな事に
- And hats are not permitted.,- それに帽子は不許可です
Because they're all the same. And you... you hang them.,みーんな同じ穴のムジナ 吊してやれ
A list of available Kipi plugins appears below.,利用可能な Kipi プラグインの一覧が下に表示されます。
"By allowing Alec to travel back, we've all become complicit in a crime.",アレクの行動を認めれば 我々は犯罪の共謀者になる
Is that why you created her? Did you know what she was capable of?,それで彼女を作った？ どんな能力か？
"Pretty soon, his body followed.",かなり早く彼の身体はあとをつけた
"What, man?",なんだよ！
That's why he invented the collar in the first place.,首輪を発明した理由だ
"I heal quick, remember?",すぐ治るから大丈夫だ
"Not through the air or through direct fluid transfer,",空気感染や接触感染ではなく、
Let's play some video games to kill time.,暇潰しにテレビゲームをしよう。
"- That explains why it's half the price of every other house in the neighborhood, I guess.",- だから 他の家の半額なんだな この近所で
I asked him to leave me alone.,彼に放っておいてと頼んだの
"Five years running, no one's been paid.",５年間 破った者は いない
"I'm a priest, Chad. I gave a sermon.",私は牧師で説教をします
Erratic physical mutation into an adorable baby dragon.,不規則な突然変異で 可愛らしい竜の赤ちゃんや...
He... slipped something in my drink.,飲み物に何か入れられて
A national campaign for energy saving is underway.,省エネルギーの全国運動が展開中だ。
"In the force, very different each one of you are.",フォースにはみんなが違う
I've already told the police everything I know.,警察には全部話したわ
"All right, wait...",いいよ、待て・・・
2001 ULSAN,(ウルサン ソンナムドン)
Why would I?,なぜ俺が？
Half an hour.,30分よ.
He was my brother.,奴は俺の兄弟だ
Let's see if you can laugh after five or six good shots to your frickin' face!,言えるか見てやる... 待て 待て！ 40 億だぞ
"Making a suit, so I won't get burned again.",火傷しないための防護服
Do you mean to march on the Wall?,壁に進軍するつもりか？
The bitch has more fight than you.,女の方が　まだマシだったぜ
- Pretend like I'm Tina Turner or something?,- 俺にティナ・ターナーか何かみたいなマネしろって？
Come on.,ほら
I'm looking forward to seeing him.,彼と会うのが楽しみだなあ。
"Yeah, I get it.",分かってます
Can you tell where these go?,どこか分かる？
You let me take too much spinal fluid.,危険値を越える量の髄液を取らせたな
You won!,お前は勝った！
Correct.,正解
It's my torture chamber now.,もう俺の物だ
Come on.,おい
We're old friends.,私たちは幼なじみです。
"When you showed me the photograph of Gordon Way in the newspaper,",あなたにゴードンの 新聞記事を見せられた時
"Well, exactly. We'll never know. But here's what we do know:",確に 決して分からない だがここでなら 分かる
"Ah,okay. Now I understand.",なるほど　それでわかりました
Two more murders. That's a total of seven.,また２人殺された
And do you know the worst of it?,この物語の　最悪な事は？
-Laxatives don't qualify as a food group.,便秘薬は食いモンじゃねえぞ
"Your uncle, his wife and children.",おまえの叔父さん家族もだ
It's not what I thought I'd be doing.,私の本意じゃないけど
- That's easy for you to say.,- 言うのは簡単
Someone vouched for me...,誰かさんが助けて くれたみたいね
He was just like the rest of us.,みんなと同じよ
But I wasn't.,でも それは
That's new.,おや　１人ぼっちか
Clearly you've never been to Singapore.,たしかにシンガポールには 言ったことないね
-She's quite insistent.,大丈夫だと主張してます
See?,ほら？
Senior Vice President of Operations.,オペレーション担当上級副社長
The doctors say he shattered L4 through S1.,医者によればL4からS1まで やられているようだ
How many wars have you fought in?,何度戦争に出た？
Just help Jamie out when you can.,時間があったら ジェイミを手伝ってくれ
- Angel? - He's fine.,エンジェル 大丈夫
Someone must find these terrible people who did this to my son... someone must punish them...,犬畜生達は 見つけ出され 必ず 天罰が下されます
I'm always on stage somewhere.,１度も... 毎年　外で仕事だ
I went to the Grand Canyon.,グランド・キャニオンに 行ってきた
"But since he lives in the US, I'm afraid you are fucked.",アメリカにいるので やられないか 心配した
"Are you going to turn me in, Elias?",もっといい名前を思い付いた
The sign for take over will come from Radio Renaissance;,ラジオ･ルネッサンスで 合図する
But i promise i'll reschedule this as soon as possible.,でもできるだけ早くリスケするって 約束するわ
"- Are you in a safe place, Mrs. Mcandrews? I can't hear you...",そこは安全ですか？
Now you see why I had you study all those maps of Division?,ディビジョン内部を 教えた意味が分かったろ?
Even with my powers I'm still powerless against him.,僕の力じゃ 彼の前では無力だ
"- No, Harrison.",- ダメ？ ハリソン
Except that the one who sent me to baptize with water told me...,しかし、水でバプテスマを授けさせるために私を遣わされた方が、私に言われました。
And the crew was in and out in under two minutes.,レジスタの そしてすぐに逃げ去っている 2分以内
We'll be fine.,大丈夫だ.
FBI techs found more of our victim in a trash compactor in rural Maryland and in a dump just outside Roanoke.,FBIの技術班が
"Mess with me, fine.",私に手を出すのはいいでしょう
"That's nice, but, sweetie, I'm black and blue all over and you're squeezing me.",私も うれしいけど アザだらけで体が痛いの
"Well, we'll sit on it.",- 発表するしかないだろう
Shoot them!,それらを撃つ！
We were wont to meet at that pleasant spot.,われわれはあの楽しい場所で会うのが常だった。
It's really good.,うまいぜ
"Yeah, the free eyeliner.",うん　無料のアイライナー
If someone saves the Emperor's life... it's said there's no request he can refuse him.,もし誰かが皇帝の命を救えば 彼の要求は拒否でないとされています
Vigilante club.,自警団クラブ
Bacchus has drowned more men than Neptune.,酒の神は、海の神より多くの人をおぼれさせた。
to pick up our money.,我々のお金を引き取る
%,%
I tried to tutor her in my methods.,自分のやり方で彼女を教えようとした
I gave him my word.,私は彼に約束した
"Hey, grunt!",おい
They need a vessel for all their anger.,彼らの怒りを受け止める相手が必要になり
"Hey, these are tough guys, but they're not gonna hurt Doc Dugan.",おい　こいつらは　危ない奴だが でも　ドク・ドゥーガンを傷つけたりしないよ 俺たちは　友達なんだ
"He set his alarm like that a long time ago, his routine never varied.",昔設定して 変えて無いからだ
"So, do I have to smack you in the mouth, Lieutenant?",それで　僕は口移しで薬を飲ませればいいのか？
It will never be you.,あんたには無理だ
Forte Agent,Forte Agent
"""The most dangerous spot in the world is ""to come between a Teamster and free food.""",運転手とタダ飯の間は 世界一危険だ
I looked up and down the street.,どこにもいなかった
Prints the current report.,現在のレポートを印刷します。
You did 20. I counted!,もう２０回やったわよ 私　数えてたもの！
"Guys, it's her! Of course it's her, Donnie.",もちろん　彼女だ　ドニー
"Callin' me a liar, boy?",嘘つき呼ばわりしたな？
"Olly, Olly.",オリー　来て
"- Ready to go for a ride, Andie?",ちゃんと乗った？ アンディ
"Limo's here, Senator.",先生　お車です
"I guess our Estonian friends are looking for d3mn8 too, Finch.",エストニアの友人を突き止める d3mn8も探している、フィンチ
This is Bead of Peacock to guard your love for your wife.,これは孔雀の数珠 あなたの強い愛情を守ってくれる
He gave me money as well as advice.,彼は私に助言をしてくれた上にお金もくれた。
I believe you are who we need.,あんたが必要な人間だって信じているよ
We ask the Mother to...,母よ、...
No police?,警察には　言わない？
"Nothing we ever do is easy, but we'll take the challenge.",でも僕ら 覚悟はできてるよ
"Some of the park feels like it was designed by committee or market-tested, but everything out here is more raw.",客の好みを反映した設計ではなく 全てが生きた感じだ
"-Stop, Hugh!",- やめるんだ ヒュー！
"""Magic""?",マジック？
Nice to meet you.,- よく来て下さったわ
I'm not a fool.,結構
"Butter, milk, eggs...",バター　ミルク　卵・・・
We got a rehearsal for this Friday.,そう 練習です
Madame Scarron the blood prince,息子にとって何がよいかは私が判断します スカロン夫人 たとえ王子であっても
We don't.,だが　我々はちがう
Leben.,リーベン
America/ Fredericton,アメリカ/フレデリクトン
I'm saying you need to call her family and get them here as soon as possible.,彼女の家族を呼んでください ここへ 出来るだけ早く
"Come back here! Gotcha, Morph! That's it, you little squid.",- かえせ〜 ちっちゃなイカみたいだな
"Hello, Sam.",やぁ　サム
No.,いや
It's a... a piece of metal.,これは金属ね
- How did you find him?,- どうやって見つけた？
"I'm just Randy, man.",私はランディ
"I come here all the time,",よく来るんだ
You don't know that movie?,知らないのか？
That's what we do. We test video games.,テレビゲームのテストを 仕事にしています
Why do you laugh?,何故、笑う？
- He's coming closer.,- 人間が近づいてくるの！
It's gonna be me that's left behind on my own.,僕は1人取り残されるんだ
He's gonna bring you some breakfast.,朝食を持って来てくれる
-She's probably right.,- おそらく当たりね
Que chingas pasa aqui?,どうやって、ここに？
I found it difficult to solve the problem.,その問題を解くのは難しいとわかった。
"I'll admit it, I'm a demon.",認めます　私は妖怪です
"I am retired, so, yes, I am.",引退してるから　そうね
"To pay off his debt,",負債の支払に充当された
I'll paint it myself.,それでは、自分でペンキ塗るよ
Not good enough to have a baby yet.,- 経過は良いそうよ
"We were hoping he was lying, but...",嘘をついていると 願うが...
Took care of you both,2人の面倒もみてやった
"Well, I trust you two can find your way out.",解決できると信じてるよ
- Give it to me.,-　俺がやる 何を？
Would you get out of my booth?,ここに来ないで
I was just... trying to escape.,ちょうど逃げる所だった
- Ladies is to your right.,間違っちゃだめよ
Arousal sometimes can do it.,効くコトも
But what?,でも　なに？
Sorry 'bout your car,車オシャカにして 悪かったな
"Group (Group) The group the server runs under. Normally this must be sys, however you can configure things for another group as needed. ex: sys","グループ (Group) サ−バを動かすグループです。 通常これは sysですが、必要であれば他のグループに設定する ことができます。 例: sysDo not translate the keyword between brackets (e.g. ServerName, ServerAdmin, etc.)"
- Stay where you are.,- 口出しするな
Radiation therapy research platform,放射線療法リサーチプラットホーム
I know your going-on-a-date routine.,デートのパターンは わかってる
Looks like you've got a visitor.,お客さんみたいね
-She speaks.,- 喋ったぞ
Don't suppose you want a taste.,いらねーんだろ
Your shoes.,靴を
Only Mark's not like Clyde at all.,マークはクライドと違います
- Wait.,- まて.
A dead woman walking the earth.,蘇ったなんで？
That is because your Lord would not destroy towns for injustice while their inhabitants are unaware.,これはあなたの主がその民の（犯した不義を自ら）意識しない中に，乱りに町を滅ぼされないためである。
He kill and leave nothing to waste.,殺すが何も 無駄にしない
Loading Project,プロジェクトの読み込みComment
Forget the jewels!,宝石はあきらめろ！
"Disgusting, dirty louse, what can be worse?",つい先頃まではボロ靴で 駈けすり回ってたくせに
"Now, what about this one.",逃げられるもんか この話ご存知？
He adjusted the telescope to his sight.,彼は望遠鏡を自分の目に合うように調整した。
No.,ない
"Well, now-now I know.",ああ、分かったよ
I don't have to go.,その必要はないよ
This style of hairdressing first appeared in the early 19th century.,この髪型は１９世紀始めに初めて見られるようになった。
"Oh, no. Oh, no.",大変だ　警備！
"Answer me, Abaddon!",答えろ　アバドン
And one thought crystallizes Like an icy blast,♪ 花咲く氷の結晶のように
"Don't give up, even if things happen that you don't like.",嫌なことがあっても 負けるんじゃないぞ　なっ
"Okay. Think about this, Kato.",なぁカトー、考えてみてくれ
Me.,ここだ
"Ben, is she listening?",ベン　彼女は聞いてる？
Call me when you're out.,出たら連絡しろ
"No, we're going to The Beehive.",いや ビーハイブに行くんだ
- This is Hollywood.,- ハリウッドにある
She said she'd never seen him before in her life.,姉は知らない男だと
- What is this? - MCU's taking Detective James Gordon into custody.,ジェームズ・ゴードン刑事を MCUが拘留する
We'll always have Paris.,僕らにはいつでもパリがあるんだ
The responsibility for the girl and all her actions lies with you.,彼女と 彼女の全行動の責任は あなたに取っていただきます
"And made his progeny survive,",そしてかれの子孫を生き残らせた。
"Most of them left. There's still a few, though.",ですが数人残ってます
- Just give it to him.,- 渡すんだ
- is a N.,- N
"When the telephone rang, I was just going out.",電話が鳴ったとき、ちょうど外出していた。
Jog your memory?,思い出してくれた？
How soon do we tell a new person in our lives,初対面の人にすぐに
It's the rush.,結論を急ぎすぎです
"Oh, yeah, sure I do.",アア　もちろん
Just tell me what you want.,言え　何が望みなんだ
Circuit board's gone.,回路基板がなくなった
"And once I opened my eyes, there was no turning back.",もう一度目を開けたら もう戻れない所だった
"The life of this world is nothing but sport and a diversion. It is the life of the Hereafter which is the only true life, if they but knew it.",現世の生活は，遊びや戯れに過ぎない。だが来世こそは，真実の生活である。もしかれらに分っていたならば。
Maybe it has to do with the fact that my birth parents gave me up and my adoptive parent kicked me out.,多分ね その事実と 関係してるんだろうけど 私の生みの親が私を諦めたことや 養親が私を追い出した事とか
"EXACT(""KSpread "";"" KOffice "") returns False","EXACT(""KSpread"";""KOffice"") は FALSE を返します"
I'm driving.,俺が運転を
It's neat.,きれい
"We got you covered, man, sure.",それなら金で償うよ
"How was your day, Snuffles?",スナッフルズ 今日は楽しかった？
He studied hard with a view to being a doctor.,彼は医者になるために猛勉強した。
We're too good. They can't afford to lose us in Congress.,議会には僕たちが必要だ
- Approach it from the east.,- 東側から接近して
"Oh, my God, Carson? Wha-What happened?",まさか　カーソンに何か・・
"Because our security systems have been upgraded, we're equipped for anything.",警備は強化されてます 万全の態勢です
And I (too) am planning a plan.,われもまた策謀をめぐらす。
It's not his methodology.,奴の方法論では無いと
Sometimes I feel okay about things.,時々、やる気になる時がある。
It'll take down the swelling.,- 気を静めろ
Looks like someone was in a hurry to rip into it.,破れてますね
- Really?,-本当に?
Stand by.,ここで待て、すぐに戻る
"Let a great big dog run wild up on the moor, it was heaven-sent.",あの犬は 天からの贈り物
"Damned it is, come undone of him.",やばい 追い払え！
Littlefinger is not long for the capital.,リトルフィンガーは都に長居しない
What are you doing here?,何してるこんな所で？
Trolls! Trolls! Trolls!,トロール　トロール...
Drop your weapon!,銃を捨てて
Sit down.,座りなさい
Hayato.,ハヤト？
We heard shots in the distance.,遠くで銃声がした。
The question is do we really still care if he's alive?,その質問は 彼が生きているか心配なんだ？
Mr. White!,ホワイト先生！
"Whatever you do don't get homesick, get Homestead.",到着するまでホームシックに なることはありません
- Neither could Spears.,スピアーズだってそうさ
sRGB,sRGBWorkspace
Go get your father.,父上を呼んでくれ
You could transfer to this school instead.,ここに転校することも出来るわよ
It was the right call.,構わん
Olivia Dunham.,オリビア・ダンハムです
Please.,お願いだ
- That's my sandwich.,それは　私のサンドイッチ
"And he probably owes some of that to you, doesn't he, Donna?",彼は　確かに急速に出世した それは　おそらく君のお陰でもあるよね？
There's no time.,時間はない。
This is how I caught Garrett Jacob Hobbs.,これが犯人に 結びついた
This house?,こんな家？
- What'll she say?,怒られる
He was naughty when he was a boy.,彼は少年時代わんぱくだった。
What do you say to taking a walk in the park?,公園を散歩するのはいかがですか。
This is the life I've forgotten.,忘れてしまった 人生がここにある
legwork.,地道な調査だ
Current range diff background color:,現在の範囲の diff 背景色:
It is... hard.,そうだ... 辛いよ
- That is incredible!,- それは　驚きだ
"You keep saying ""supposedly."" You don't believe Surak did the things they said he did?",君は、彼らが彼がしたことについて 言っている事を信じていないのかね？
"Okay, everybody, welcome. We've got some new challengers.",新しいチャレンジャーの紹介だ！
He who steals a pin will steal an ox.,一事が万事。
